Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,FileName,ra,de,decimal_date,helio_corr
EC12489-2750,12,51,41.04,-,28,6,47.3,EC12489m2750_a_2000_07_13T01_26_13_all.dat.gz,12.8614126,28.11347,2000.5300546448088,27.535578560594086
EC12489-2750,12,51,41.04,-,28,6,47.3,EC12489m2750_b_2000_07_15T23_51_15_all.dat.gz,12.8613876,28.11294,2000.535519125683,27.564927051093342
EC13123-2523,13,15,3.87,-,25,39,0.0,EC13123m2523_a_2000_04_22T03_01_23_all.dat.gz,13.251114333333334,25.65049,2000.3060109289618,4.028641396990078
EC13123-2523,13,15,3.87,-,25,39,0.0,EC13123m2523_b_2000_04_25T05_27_39_all.dat.gz,13.251094466666666,25.65028,2000.3142076502731,5.4521084931243395
HE0031-5525,0,33,36.10,-,55,8,38.9,HE0031m5525_a_2002_07_27T06_08_16_all.dat.gz,0.5600453333333333,55.14455,2002.5671232876712,19.506830450052334
HE0031-5525,0,33,36.10,-,55,8,38.9,HE0031m5525_b_2001_12_17T00_51_42_all.dat.gz,0.5600112666666667,55.14449,2001.958904109589,-16.494195271161864
HE0032-2744,0,34,37.84,-,27,28,20.1,HE0032m2744_a_2002_09_15T03_00_04_all.dat.gz,0.5771667333333333,27.47278,2002.704109589041,9.241199185630915
HE0032-2744,0,34,37.84,-,27,28,20.1,HE0032m2744_b_2002_09_18T03_06_51_all.dat.gz,0.5772113333333333,27.47165,2002.7123287671234,7.931196843524663
HE0043-0318,0,46,18.39,-,3,2,1.1,HE0043m0318_a_2002_12_02T01_31_03_all.dat.gz,0.771815,3.03358,2002.9178082191781,-28.019547712024405
HE0043-0318,0,46,18.39,-,3,2,1.1,HE0043m0318_b_2003_01_16T01_44_20_all.dat.gz,0.7718176,3.03375,2003.041095890411,-28.05294412817719
HE0049-0940,0,52,15.36,-,9,24,18.8,HE0049m0940_a_2002_09_26T08_39_31_all.dat.gz,0.8709348666666668,9.40433,2002.7342465753425,0.8454240662477078
HE0049-0940,0,52,15.36,-,9,24,18.8,HE0049m0940_b_2002_09_27T06_27_23_all.dat.gz,0.8708971333333333,9.4054,2002.7369863013698,0.3401441921831023
HE0103-3253,1,5,30.75,-,32,37,54.5,HE0103m3253_a_2002_09_15T03_36_35_all.dat.gz,1.0918389333333332,32.63154,2002.704109589041,10.160475916021117
HE0103-3253,1,5,30.75,-,32,37,54.5,HE0103m3253_b_2002_09_25T07_00_07_all.dat.gz,1.0918300666666667,32.63118,2002.731506849315,5.9561512781209816
HE0106-3253,1,8,36.03,-,32,37,43.4,HE0106m3253_a_2000_12_07T02_53_55_all.dat.gz,1.1433528,32.62875,2000.931693989071,-22.95512653535691
HE0106-3253,1,8,36.03,-,32,37,43.4,HE0106m3253_b_2001_08_25T08_44_57_all.dat.gz,1.1433566,32.62898,2001.6465753424657,17.76954131805963
HE0130-2721,1,33,9.09,-,27,5,44.4,HE0130m2721_a_2002_09_15T04_41_09_all.dat.gz,1.5524768,27.0954,2002.704109589041,9.594577297332467
HE0130-2721,1,33,9.09,-,27,5,44.4,HE0130m2721_b_2002_09_27T07_32_41_all.dat.gz,1.5525465333333335,27.0957,2002.7369863013698,4.224391593170999
HE0131+0149,1,34,28.42,+,2,4,22.0,HE0131p0149_a_2002_09_19T05_55_34_all.dat.gz,1.5745436666666668,2.07269,2002.7150684931507,3.2198272000118195
HE0131+0149,1,34,28.42,+,2,4,22.0,HE0131p0149_b_2001_08_22T09_20_44_all.dat.gz,1.5745418666666666,2.07297,2001.6383561643836,16.26113004976417
HE0145-0610,1,48,22.27,-,5,55,36.6,HE0145m0610_a_2003_01_19T01_13_47_all.dat.gz,1.8061663333333333,5.92529,2003.0493150684931,-27.797767200263973
HE0145-0610,1,48,22.27,-,5,55,36.6,HE0145m0610_a_2003_01_19T01_33_36_all.dat.gz,1.8061682666666667,5.9254,2003.0493150684931,-27.797773038845367
HE0145-0610,1,48,22.27,-,5,55,36.6,HE0145m0610_b_2003_09_21T04_12_02_all.dat.gz,1.8061493333333334,5.92681,2003.7205479452055,3.245603246698014
