# wdid:USNO-B1.0 1068-00000833,resolution:nan,source:/home/bergeron/SPY/HS0002+1635_an,wavelength_min: 3290.10,wavelength_max: 6641.90
wavelength,flux
3290.10,4.13034e-12
3290.20,7.25552e-12
3290.30,5.19975e-12
3290.40,8.98916e-12
3290.50,1.29134e-11
3290.60,9.73176e-12
3290.70,1.64732e-11
3290.80,7.85131e-12
3290.90,8.17871e-12
3291.00,4.75362e-12
3291.10,1.06018e-11
3291.20,8.89272e-12
3291.30,6.07880e-12
3291.40,9.49077e-12
3291.50,1.25002e-11
3291.60,9.72937e-12
3291.70,7.62501e-12
3291.80,5.93498e-12
3291.90,9.06061e-12
3292.00,9.56544e-12
3292.10,1.19502e-11
3292.20,8.44404e-12
3292.30,6.85080e-12
3292.40,1.15854e-11
3292.50,1.09826e-11
3292.60,7.97489e-12
3292.70,6.14400e-12
3292.80,1.25036e-11
3292.90,8.37638e-12
3293.00,1.21709e-11
3293.10,9.85327e-12
3293.20,1.16659e-11
3293.30,1.04373e-11
3293.40,8.58985e-12
3293.50,9.62192e-12
3293.60,8.73056e-12
3293.70,9.83261e-12
3293.80,1.13575e-11
3293.90,8.26276e-12
3294.00,9.51916e-12
3294.10,1.17088e-11
3294.20,8.40905e-12
3294.30,1.04139e-11
3294.40,8.89301e-12
3294.50,5.92770e-12
3294.60,9.76087e-12
3294.70,1.03875e-11
3294.80,7.12084e-12
3294.90,8.35613e-12
3295.00,8.44428e-12
3295.10,8.01272e-12
3295.20,9.64635e-12
3295.30,9.11085e-12
3295.40,7.83487e-12
3295.50,6.40478e-12
3295.60,8.01298e-12
3295.70,1.10184e-11
3295.80,9.97233e-12
3295.90,7.57926e-12
3296.00,7.82939e-12
3296.10,8.55175e-12
3296.20,9.09952e-12
3296.30,9.87387e-12
3296.40,8.95310e-12
3296.50,8.21020e-12
3296.60,8.14073e-12
3296.70,9.97488e-12
3296.80,1.09116e-11
3296.90,1.04123e-11
3297.00,1.02001e-11
3297.10,9.61831e-12
3297.20,1.00983e-11
3297.30,1.06726e-11
3297.40,9.59068e-12
3297.50,9.13571e-12
3297.60,8.84246e-12
3297.70,8.66598e-12
3297.80,9.95759e-12
3297.90,9.19779e-12
3298.00,8.90084e-12
3298.10,9.61762e-12
3298.20,9.97634e-12
3298.30,6.66351e-12
3298.40,8.47551e-12
3298.50,1.06666e-11
3298.60,8.02758e-12
3298.70,9.28319e-12
3298.80,8.53528e-12
3298.90,8.59823e-12
3299.00,8.85215e-12
3299.10,8.58584e-12
3299.20,8.62376e-12
3299.30,1.03323e-11
3299.40,1.03638e-11
3299.50,9.48271e-12
3299.60,8.38907e-12
3299.70,8.85627e-12
3299.80,7.99128e-12
3299.90,7.47853e-12
3300.00,1.07468e-11
3300.10,7.78640e-12
3300.20,8.98211e-12
3300.30,9.86443e-12
3300.40,9.96894e-12
3300.50,1.01040e-11
3300.60,8.90435e-12
3300.70,8.35869e-12
3300.80,9.87759e-12
3300.90,7.43145e-12
3301.00,8.18828e-12
3301.10,8.66350e-12
3301.20,9.79311e-12
3301.30,8.62347e-12
3301.40,8.05466e-12
3301.50,9.38658e-12
3301.60,9.40097e-12
3301.70,8.51393e-12
3301.80,8.19516e-12
3301.90,9.61688e-12
3302.00,7.80191e-12
3302.10,8.13809e-12
3302.20,8.71838e-12
3302.30,8.84222e-12
3302.40,8.18795e-12
3302.50,9.39627e-12
3302.60,8.97881e-12
3302.70,7.21761e-12
3302.80,8.57237e-12
3302.90,8.64348e-12
3303.00,9.07051e-12
3303.10,9.11982e-12
3303.20,8.74441e-12
3303.30,8.90618e-12
3303.40,9.23323e-12
3303.50,9.29094e-12
3303.60,8.18044e-12
3303.70,7.81068e-12
3303.80,8.85172e-12
3303.90,8.32866e-12
3304.00,7.13772e-12
3304.10,8.34897e-12
3304.20,1.00025e-11
3304.30,8.80814e-12
3304.40,7.81472e-12
3304.50,7.84797e-12
3304.60,7.96865e-12
3304.70,8.13598e-12
3304.80,8.56235e-12
3304.90,7.42142e-12
3305.00,8.87345e-12
3305.10,8.63386e-12
3305.20,7.87899e-12
3305.30,8.58535e-12
3305.40,8.74440e-12
3305.50,7.36434e-12
3305.60,8.24174e-12
3305.70,8.40444e-12
3305.80,9.14057e-12
3305.90,7.66688e-12
3306.00,8.02061e-12
3306.10,8.98436e-12
3306.20,8.20973e-12
3306.30,9.03467e-12
3306.40,9.67702e-12
3306.50,8.69406e-12
3306.60,8.47321e-12
3306.70,8.19653e-12
3306.80,8.53186e-12
3306.90,8.30367e-12
3307.00,8.79518e-12
3307.10,7.19344e-12
3307.20,8.02169e-12
3307.30,8.18929e-12
3307.40,8.36565e-12
3307.50,8.84856e-12
3307.60,8.64219e-12
3307.70,8.63723e-12
3307.80,7.39029e-12
3307.90,8.37256e-12
3308.00,8.53112e-12
3308.10,7.71030e-12
3308.20,8.85669e-12
3308.30,8.71119e-12
3308.40,8.55473e-12
3308.50,8.64433e-12
3308.60,8.40532e-12
3308.70,8.66546e-12
3308.80,8.97202e-12
3308.90,8.22277e-12
3309.00,8.44497e-12
3309.10,7.19046e-12
3309.20,7.01081e-12
3309.30,7.53325e-12
3309.40,8.11603e-12
3309.50,8.01495e-12
3309.60,7.97598e-12
3309.70,7.86282e-12
3309.80,8.17573e-12
3309.90,6.98710e-12
3310.00,8.52097e-12
3310.10,7.55955e-12
3310.20,8.27895e-12
3310.30,8.20378e-12
3310.40,8.06610e-12
3310.50,7.82276e-12
3310.60,7.64665e-12
3310.70,7.49063e-12
3310.80,7.17225e-12
3310.90,7.92593e-12
3311.00,7.51978e-12
3311.10,8.34964e-12
3311.20,8.05903e-12
3311.30,8.63337e-12
3311.40,8.41699e-12
3311.50,8.04220e-12
3311.60,7.00708e-12
3311.70,7.95720e-12
3311.80,7.20183e-12
3311.90,7.49972e-12
3312.00,8.17233e-12
3312.10,8.44141e-12
3312.20,7.60318e-12
3312.30,7.89421e-12
3312.40,7.97447e-12
3312.50,8.17955e-12
3312.60,7.47983e-12
3312.70,7.91845e-12
3312.80,7.70697e-12
3312.90,8.17970e-12
3313.00,9.07645e-12
3313.10,8.29382e-12
3313.20,7.28665e-12
3313.30,8.36440e-12
3313.40,8.52567e-12
3313.50,8.08781e-12
3313.60,8.99953e-12
3313.70,7.81591e-12
3313.80,7.77133e-12
3313.90,7.49156e-12
3314.00,7.70376e-12
3314.10,7.22722e-12
3314.20,8.31179e-12
3314.30,8.20200e-12
3314.40,7.41101e-12
3314.50,8.52804e-12
3314.60,8.82246e-12
3314.70,6.87434e-12
3314.80,7.65214e-12
3314.90,8.11957e-12
3315.00,7.55189e-12
3315.10,7.78146e-12
3315.20,8.43889e-12
3315.30,8.21685e-12
3315.40,8.52460e-12
3315.50,9.16569e-12
3315.60,7.72330e-12
3315.70,8.24817e-12
3315.80,8.15845e-12
3315.90,7.47017e-12
3316.00,8.04317e-12
3316.10,8.02311e-12
3316.20,7.35854e-12
3316.30,6.95361e-12
3316.40,6.87039e-12
3316.50,7.72750e-12
3316.60,7.60431e-12
3316.70,8.13022e-12
3316.80,7.45551e-12
3316.90,8.23873e-12
3317.00,7.30520e-12
3317.10,8.00703e-12
3317.20,7.17835e-12
3317.30,8.17281e-12
3317.40,8.81241e-12
3317.50,8.08238e-12
3317.60,7.75649e-12
3317.70,7.46029e-12
3317.80,7.73686e-12
3317.90,7.68629e-12
3318.00,8.77080e-12
3318.10,8.60827e-12
3318.20,8.08029e-12
3318.30,7.51992e-12
3318.40,8.68586e-12
3318.50,7.85951e-12
3318.60,7.92868e-12
3318.70,7.04634e-12
3318.80,7.63388e-12
3318.90,7.64462e-12
